region,folio,tipo,accion,detalle
NUBLE,58880,garantia,DRY_RUN,58880 Club Adulto Mayor las Violetas Chillán.pdf → Garantía - 58880.pdf
NUBLE,58880,rendicion,DRY_RUN,58880 CLUB DE ADULTO MAYOR LAS VIOLETAS.pdf → Rendición - 58880.pdf
NUBLE,58909,garantia,DRY_RUN,58909 Centro de Proyectos Liceo Domingo Ortiz de Rozas.pdf → Garantía - 58909.pdf
NUBLE,58909,rendicion,DRY_RUN,58909 Centro de Proyectos estudiantiles Liceo Domingo Ortiz de Rozas.pdf → Rendición - 58909.pdf
NUBLE,59074,garantia,DRY_RUN,59074 Agrupación de Mujeres Rurales Huemul.pdf → Garantía - 59074.pdf
NUBLE,59074,rendicion,DRY_RUN,59074 Agrupación de Mujeres Rurales Huemul.pdf → Rendición - 59074.pdf
NUBLE,59201,garantia,DRY_RUN,59201 Club Adulto Mayor Renacer la Ermita.pdf → Garantía - 59201.pdf
NUBLE,59201,rendicion,DRY_RUN,59201 Club Adulto Mayor “Renacer La Ermita”.pdf → Rendición - 59201.pdf
NUBLE,59396,garantia,DRY_RUN,59396 Junta de Vecinos Batuco.pdf → Garantía - 59396.pdf
NUBLE,59396,rendicion,DRY_RUN,59396 junta de vecinos batuco.pdf → Rendición - 59396.pdf
NUBLE,59427,garantia,DRY_RUN,59427 Unión Comunal Adulto Mayor de la Comuna de Ranquil.pdf → Garantía - 59427.pdf
NUBLE,59427,rendicion,DRY_RUN,59427 union comunal del adulto mayor de la comuna de ranquil.pdf → Rendición - 59427.pdf
NUBLE,59623,garantia,DRY_RUN,59623 Junta de Vecinos Villa Monterrico.pdf → Garantía - 59623.pdf
NUBLE,59623,rendicion,DRY_RUN,59623 JUNTA DE VECINOS VILLA MONTERRICO.pdf → Rendición - 59623.pdf
NUBLE,59675,garantia,DRY_RUN,59675 Fundación MITEA.pdf → Garantía - 59675.pdf
NUBLE,59675,rendicion,DRY_RUN,59675 FUNDACIÓN MITEA.pdf → Rendición - 59675.pdf
NUBLE,56632,garantia,DRY_RUN,56632 Agrupacion de Padres Amigos y Profesionales de Niños con Trastornos.pdf → Garantía - 56632.pdf
NUBLE,56632,rendicion,DRY_RUN,56632 Agrupacion de Padres Amigos y Profesionales de Niños con Trastornos.pdf → Rendición - 56632.pdf
NUBLE,58175,garantia,DRY_RUN,58175 Club Adulto Mayor Autovalente las Petitas.pdf → Garantía - 58175.pdf
NUBLE,58175,rendicion,DRY_RUN,58175 CLUB ADULTO MAYOR AUTOVALENTE LAS PETITAS.pdf → Rendición - 58175.pdf
NUBLE,54622,garantia,DRY_RUN,54622 JUNTA DE VECINOS ANTIQUEREO.pdf → Garantía - 54622.pdf
NUBLE,54622,rendicion,DRY_RUN,54622 JUNTA DE VECINOS ANTIQUEREO.pdf → Rendición - 54622.pdf
NUBLE,55066,garantia,DRY_RUN,55066 Corporacion cultural de San Fabian.pdf → Garantía - 55066.pdf
NUBLE,55066,rendicion,DRY_RUN,55066 Corporacion cultural de San Fabian.pdf → Rendición - 55066.pdf
NUBLE,54872,garantia,DRY_RUN,54872 STREET WORKOUT CHILLAN.pdf → Garantía - 54872.pdf
NUBLE,54872,rendicion,DRY_RUN,54872 STREET WORKOUT CHILLAN.pdf → Rendición - 54872.pdf
NUBLE,57651,garantia,DRY_RUN,57651 Taller Laboral Nuestra Señora del Transito.pdf → Garantía - 57651.pdf
NUBLE,57651,rendicion,DRY_RUN,57651 Taller Laboral Nuestra Señora del Transito.pdf → Rendición - 57651.pdf
NUBLE,58947,garantia,DRY_RUN,58947 Unión Comunal de Adulto Mayor El Ultimo Recreo San Ignacio.pdf → Garantía - 58947.pdf
NUBLE,58947,rendicion,DRY_RUN,58947 Unión Comunal de Adulto Mayor El Ultimo Recreo San Ignacio.pdf → Rendición - 58947.pdf
AYSEN,55042,garantia,DRY_RUN,5 55042 QUINTA COMPAÑIA DE BOMBEROS DE PUERTO IBAÑEZ.pdf → Garantía - 55042.pdf
AYSEN,55042,rendicion,DRY_RUN,FRR 55042 QUINTA COMPAÑIA DE BOMBEROS DE PUERTO IBAÑEZ.pdf → Rendición - 55042.pdf
AYSEN,55866,garantia,DRY_RUN,6 55866 ASOC DE VOLEIBOL DE PUERTO AYSÉN.pdf → Garantía - 55866.pdf
AYSEN,55866,rendicion,DRY_RUN,FRR 55866 ASOC DE VOLEIBOL DE PUERTO AYSÉN.pdf → Rendición - 55866.pdf
AYSEN,56048,garantia,DRY_RUN,8 56048 CLUB DEPORTIVO Y SOCIAL COLONIAL.pdf → Garantía - 56048.pdf
AYSEN,56048,rendicion,DRY_RUN,FRR 56048 CLUB DEPORTIVO Y SOCIAL COLONIAL.pdf → Rendición - 56048.pdf
AYSEN,56135,garantia,DRY_RUN,26 56135 AGRUPACIÓN CULTURAL SINFONÍA DEL VIENTO.pdf → Garantía - 56135.pdf
AYSEN,56135,rendicion,DRY_RUN,FRR 56135 AGRUPACIÓN CULTURAL SINFONÍA DEL VIENTO.pdf → Rendición - 56135.pdf
