fuente,ruta_completa,ruta_relativa,nombre_archivo,extension,tamano_kb,folio_principal,folios_multiples,n_folios_detectados,categoria
archivos,/home/bgcorrea/personal/workspace/caigg/Archivos/01. ARICA - FFOIP/60057 - JV ALTOS DE LA CRUZ N°37/Convenio - 60057.pdf,01. ARICA - FFOIP/60057 - JV ALTOS DE LA CRUZ N°37/Convenio - 60057.pdf,Convenio - 60057.pdf,.pdf,3979.3,60057,,1,convenio
archivos,/home/bgcorrea/personal/workspace/caigg/Archivos/01. ARICA - FFOIP/60057 - JV ALTOS DE LA CRUZ N°37/Resolución Exenta N° 106-2022.pdf,01. ARICA - FFOIP/60057 - JV ALTOS DE LA CRUZ N°37/Resolución Exenta N° 106-2022.pdf,Resolución Exenta N° 106-2022.pdf,.pdf,1192.4,60057,,1,acto_administrativo
archivos,/home/bgcorrea/personal/workspace/caigg/Archivos/01. ARICA - FFOIP/60057 - JV ALTOS DE LA CRUZ N°37/Res. Adjudicación REX 95-2022.pdf,01. ARICA - FFOIP/60057 - JV ALTOS DE LA CRUZ N°37/Res. Adjudicación REX 95-2022.pdf,Res. Adjudicación REX 95-2022.pdf,.pdf,1246.1,60057,,1,acto_administrativo
archivos,/home/bgcorrea/personal/workspace/caigg/Archivos/01. ARICA - FFOIP/58239 - AGRUPACION DE DESARROLLO SOCIAL CULTURAL Y RECREATIVO VECINOS UNIDOS/Garantía - 58239.pdf,01. ARICA - FFOIP/58239 - AGRUPACION DE DESARROLLO SOCIAL CULTURAL Y RECREATIVO VECINOS UNIDOS/Garantía - 58239.pdf,Garantía - 58239.pdf,.pdf,319.9,58239,,1,garantia
archivos,/home/bgcorrea/personal/workspace/caigg/Archivos/01. ARICA - FFOIP/58239 - AGRUPACION DE DESARROLLO SOCIAL CULTURAL Y RECREATIVO VECINOS UNIDOS/Convenio - 58239.pdf,01. ARICA - FFOIP/58239 - AGRUPACION DE DESARROLLO SOCIAL CULTURAL Y RECREATIVO VECINOS UNIDOS/Convenio - 58239.pdf,Convenio - 58239.pdf,.pdf,3967.6,58239,,1,convenio
archivos,/home/bgcorrea/personal/workspace/caigg/Archivos/01. ARICA - FFOIP/58239 - AGRUPACION DE DESARROLLO SOCIAL CULTURAL Y RECREATIVO VECINOS UNIDOS/Resolución Exenta N° 106-2022.pdf,01. ARICA - FFOIP/58239 - AGRUPACION DE DESARROLLO SOCIAL CULTURAL Y RECREATIVO VECINOS UNIDOS/Resolución Exenta N° 106-2022.pdf,Resolución Exenta N° 106-2022.pdf,.pdf,1192.4,58239,,1,acto_administrativo
archivos,/home/bgcorrea/personal/workspace/caigg/Archivos/01. ARICA - FFOIP/58239 - AGRUPACION DE DESARROLLO SOCIAL CULTURAL Y RECREATIVO VECINOS UNIDOS/Res. Adjudicación REX 95-2022.pdf,01. ARICA - FFOIP/58239 - AGRUPACION DE DESARROLLO SOCIAL CULTURAL Y RECREATIVO VECINOS UNIDOS/Res. Adjudicación REX 95-2022.pdf,Res. Adjudicación REX 95-2022.pdf,.pdf,1246.1,58239,,1,acto_administrativo
archivos,/home/bgcorrea/personal/workspace/caigg/Archivos/01. ARICA - FFOIP/58239 - AGRUPACION DE DESARROLLO SOCIAL CULTURAL Y RECREATIVO VECINOS UNIDOS/Egreso - 58239.pdf,01. ARICA - FFOIP/58239 - AGRUPACION DE DESARROLLO SOCIAL CULTURAL Y RECREATIVO VECINOS UNIDOS/Egreso - 58239.pdf,Egreso - 58239.pdf,.pdf,12.6,58239,,1,otro
archivos,/home/bgcorrea/personal/workspace/caigg/Archivos/01. ARICA - FFOIP/59936 - JV N°1 IGNACIO SERRANO MONTANER/Resolución Exenta N° 106-2022.pdf,01. ARICA - FFOIP/59936 - JV N°1 IGNACIO SERRANO MONTANER/Resolución Exenta N° 106-2022.pdf,Resolución Exenta N° 106-2022.pdf,.pdf,1192.4,59936,,1,acto_administrativo
archivos,/home/bgcorrea/personal/workspace/caigg/Archivos/01. ARICA - FFOIP/59936 - JV N°1 IGNACIO SERRANO MONTANER/Egreso - 59936.pdf,01. ARICA - FFOIP/59936 - JV N°1 IGNACIO SERRANO MONTANER/Egreso - 59936.pdf,Egreso - 59936.pdf,.pdf,12.6,59936,,1,otro
